Index,CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,NatRef,lon_x1,lat_y1,lon_x2,lat_y2,Plastic,Rubber,Cloth,Processed Lumber,Metal,Glass,Other
583,Swiss Litter Report,aare_bern_scheurerk,CH,,92,,,20171116,Cleanup,,7.452585674,46.97096722,7.451389792,46.97080631,19,1,0,4,24,5,0
584,Surfrider Foundation Europe,"AS-239 Carreño, 33430 Candás, Espagne",ES,North-east Atlantic Ocean,81,,,20160320,Cleanup,,-5.76157,43.5877,-5.76057,43.5877,305,58,2,0,20,20,0
585,Swiss Litter Report,Bodensee_Steinach_Dolder_A,CH,,92,Urban,Other (mixed),20171126,Cleanup,,9.436171386,47.50629918,9.436930447,47.50564823,114,21,1,13,64,21,2
586,Swiss Litter Report,Murg_Waengi_StrickerR,CH,,13,Urban,Pebbels,20170822,Cleanup,,8.961592821,47.49361003,8.961466495,47.493684,2,0,0,0,16,0,0
587,Legambiente Onlus,"Spiaggia di Cava dellIsola, Forio (NA)",IT,Mediterranean Sea,100,,,20170430,Monitoring,,13.85957,40.72674,13.86057,40.72674,501,0,0,6,25,6,0
588,Surfrider Foundation Europe,"32 Via Cartagine, 00058 Santa Marinella, Italie",IT,Mediterranean Sea,83,,,20150322,Cleanup,,11.9563,42.0172,11.9573,42.0172,1123,4,15,0,128,40,0
589,Mare Nostrum,Eforie,RO,Black Sea,105,Urban,Sandy,20161011,Monitoring,,28.64498,44.0462,28.64536,44.0453,4657,23,52,71,204,96,5
590,Swiss Litter Report,greifensee_uster_fischerb_1,CH,,36,Urban,Pebbels,20180201,Cleanup,,8.689797231,47.35012739,8.689775815,47.3498032,0,0,0,0,0,0,0
591,Independent,følvika,NO,North-east Atlantic Ocean,617,,,20150914,Cleanup,,14.60424851,68.43381799,14.59606577,68.42924873,201,0,6,15,36,10,0
592,Swiss Litter Report,Töss_Winterthur 2,CH,,37,Rural,Rocky,20170408,Cleanup,,8.708426391,47.47870731,8.708630027,47.47901493,18,0,0,3,12,1,0
593,Swiss Litter Report,sempachersee_sempach_tampec,CH,,16,,,20171130,Cleanup,,8.191873684,47.1286181,8.191974288,47.12875135,36,4,0,1,28,125,0
594,"Aarhus University, Denmark ","MSFD Pomlenakke, Falster",DK,Baltic Sea,100,Rural,Other (mixed),20171003,Monitoring,,12.12396176,54.80588175,12.12483001,54.80663181,16,3,0,1,0,18,0
595,"Aarhus University, Denmark ",MSFD Kofoeds enge,DK,Baltic Sea,99,Rural,Sandy,20170621,Monitoring,,12.57666753,55.55767488,12.57508718,55.55761141,20,0,0,2,0,0,0
596,Mare Nostrum,Costine?ti,RO,Black Sea,103,Rural,Sandy,20150413,Monitoring,,28.64046,43.95488,28.64006,43.954,40,0,0,1,4,16,0
597,HELMEPA - Hellenic Marine Environment Protection Association,Schoinias,GR,Mediterranean Sea,321,Rural,Sandy,20181004,Cleanup,,24.04890915,38.14305183,24.04525021,38.14309837,2323,18,17,512,1156,253,0
598,Surfrider Foundation Europe,"Plage du Pin Sec, 33990 Naujac-sur-Mer, France",FR,North-east Atlantic Ocean,78,,,20150523,Cleanup,,-1.1646,45.2763,-1.1636,45.2763,180,0,5,0,16,12,0
599,Legambiente Onlus,"Spiaggia di Agnone, Montecorice (SA)",IT,Mediterranean Sea,100,,,20170429,Monitoring,,14.99329,40.21735,14.99429,40.21735,351,3,2,34,0,8,0
600,Swiss Litter Report,emme_luterbach_huggenbergerk,CH,,162,Urban,Other (mixed),20170729,Cleanup,,7.574014409,47.21194415,7.574838598,47.21059866,8,4,2,1,0,0,0
601,Swiss Litter Report,Aare_Elfenau_cataldiv,CH,,19,,,20170909,Cleanup,,7.462960549,46.93102012,7.462813345,46.9311636,22,0,0,81,0,0,0
602,Swiss Litter Report,sitter_gaiserwald_buehlerf,CH,,14,Urban,Pebbels,20170626,Cleanup,,9.340103749,47.42516095,9.340115386,47.42503771,100,8,4,5,76,31,0
603,Perseus,Vama Veche  2 Mai,RO,Black Sea,2511,Rural,Other (mixed),20160718,Cleanup,,28.58188921,43.77835953,28.57638704,43.75610959,359,20,6,0,100,12,0
604,Legambiente Onlus,"Spiaggia della Bandita, Palermo (PA)",IT,Mediterranean Sea,100,,,20140518,Cleanup,,13.41757,38.09827,13.41857,38.09827,779,144,25,40,264,100,0
605,Surfrider Foundation Europe,"2 Place de la Concorde, 33680 Lacanau, France",FR,North-east Atlantic Ocean,78,,,20150510,Cleanup,,-1.20326,44.9935,-1.20226,44.9935,400,0,0,0,40,0,0
606,Legambiente Onlus,"Spiaggia di Montelungo, Gela (CL)",IT,Mediterranean Sea,100,,,20140521,Cleanup,,14.19615,37.08176,14.19715,37.08176,236,29,2,4,36,10,0
607,Swiss Litter Report,Rhein_Basel_HungerbuehlerN,CH,,33,,,20171126,Cleanup,,7.610348826,47.55821758,7.609944468,47.5580976,0,0,0,0,0,1,0
608,Black Sea NGO Network,Bolata,BG,Black Sea,166,Rural,Other (mixed),20150920,Cleanup,,28.47044936,43.38152626,28.47198964,43.38250927,113,0,0,0,0,0,0
609,Surfrider Foundation Europe,"Boulevard du Prince de Galles Biarritz, 64200 Biarritz, France",FR,North-east Atlantic Ocean,81,,,20150614,Cleanup,,-1.56846,43.474,-1.56746,43.474,720,7,6,0,120,25,0
610,Swiss Litter Report,vierwaldstättersee_weggis_schöberls_2,CH,,68,,,20180330,Cleanup,,8.417307579,47.04395301,8.418082376,47.04426291,18,4,0,0,36,53,0
611,Legambiente Onlus,"Spiaggia della Maddalena, Capoterra (CA)",IT,Mediterranean Sea,100,,,20170424,Monitoring,,9.01748,39.14609,9.01848,39.14609,219,12,3,32,28,16,0
612,Swiss Litter Report,reuss_hünenberg_eberhardy,CH,,28,Rural,Other (mixed),20171118,Cleanup,,8.401012085,47.23297549,8.401218684,47.23318606,5,0,1,0,4,0,0
613,Swiss Litter Report,zuerichsee_staefa_hennm,CH,,11,,,20170929,Cleanup,,8.769881407,47.23464309,8.770014323,47.2345991,66,7,0,2,32,5,0
614,Surfrider Foundation Europe,"Avenue des Cavaliers Anglet, 64600 Anglet, France",FR,North-east Atlantic Ocean,81,,,20160127,Cleanup,,-1.52669,43.5216,-1.52569,43.5216,144,0,7,0,32,21,0
615,Surfrider Foundation Europe,"96 Plage Sud, 40560 Vielle-Saint-Girons, France",FR,North-east Atlantic Ocean,80,,,20150201,Cleanup,,-1.36404,43.9524,-1.36304,43.9524,1230,80,70,0,160,80,0
616,"Aarhus University, Denmark ","Sønderø, Roskilde Vig",DK,North-east Atlantic Ocean,99,Rural,Pebbels,20160406,Monitoring,,12.08215544,55.66975815,12.08374761,55.6697621,98,2,2,16,4,3,2
617,Perseus,IMS-METU beach,TR,Mediterranean Sea,835,Near river mouth,Sandy,20140523,Cleanup,,34.25614943,36.56645545,34.26167939,36.57244546,581,10,2,21,24,3,0
618,Swiss Litter Report,töss_kollbrunn_bürgid,CH,,104,Rural,Other (mixed),20170429,Cleanup,,8.779680032,47.45456979,8.780936622,47.45497142,52,4,2,11,80,2,0
619,Surfrider Foundation Europe,"23 Route de Maguelone, 34250 Palavas-les-Flots, France",FR,Mediterranean Sea,81,,,20151115,Cleanup,,3.91236,43.5199,3.91336,43.5199,286,4,5,0,60,55,0
620,Swiss Litter Report,Emme_Utzenstorf_Grüttert,CH,,9,Rural,Other (mixed),20170830,Cleanup,,7.539627,47.123696,7.53951,47.12369645,3,0,1,0,0,0,1
621,Swiss Litter Report,Birs_Reinach_DiNucciN,CH,,36,Rural,Rocky,20170529,Cleanup,,7.607008497,47.5036817,7.607005388,47.50400169,94,0,0,11,124,2,0
622,Swiss Litter Report,Rhein_Beach near Tinguely Museum_Bolger. O_Sigrist F.,DE,,186,Urban,Pebbels,20170722,Cleanup,,7.612153634,47.55864389,7.614550071,47.55909708,1725,29,5,197,952,112,7
623,Perseus,venus- Saturn,RO,Black Sea,1402,Urban,Sandy,20140616,Cleanup,,28.59647797,43.84197947,28.59280946,43.82964692,93,0,4,0,24,6,0
624,Plastic Change,Lejre Vig II,DK,North-east Atlantic Ocean,100,Rural,Rocky,20160415,Monitoring,,11.99125,55.683035,11.99203,55.682251,15,0,0,15,16,19,0
625,Swiss Litter Report,limmat_zuerich_suterd&glauserp,CH,,42,,,20170614,Cleanup,,8.513443532,47.39453926,8.5139733,47.3944089,99,5,5,27,36,5,1
626,Swiss Litter Report,lötschebach_bern_scheurerk,CH,,171,,,20170826,Cleanup,,7.492835886,46.96494599,7.493958992,46.96361098,7,0,2,0,0,0,0
627,Swiss Litter Report,sitter_gaiserwald_buehlerf,CH,,14,Urban,Pebbels,20170710,Cleanup,,9.340103749,47.42516095,9.340115386,47.42503771,62,12,0,11,104,42,0
628,Legambiente Onlus,Spiaggia Torrette di Ancona (AN),IT,Mediterranean Sea,100,,,20170424,Monitoring,,13.4522,43.61099,13.4532,43.61099,422,8,4,28,80,17,5
629,Independent,Plage de la Petite Afrique,FR,Mediterranean Sea,101,Urban,Pebbels,20180115,Cleanup,,7.339616144,43.71231261,7.340581956,43.71288717,610,0,13,0,0,49,0
630,Surfrider Foundation Europe,"Strandopgang Molenslag Ter Heijde, 2684 Ter Heijde, Pays-Bas",NL,North-east Atlantic Ocean,68,,,20151124,Cleanup,,4.17127,52.0344,4.17227,52.0344,152,0,1,0,8,5,0
631,Surfers Against Sewage,Perranporth,UK,North-east Atlantic Ocean,618,,,20150328,Cleanup,,-5.153876141,50.34636655,-5.153412947,50.35191773,133,0,3,0,0,4,0
632,Swiss Litter Report,Zürichsee-Feldeggstr-BänningerSand,CH,,101,,,20180326,Cleanup,,8.547368237,47.35939223,8.547258755,47.35849086,279,20,6,81,180,28,0
633,Swiss Litter Report,rhein_eglisau_gomringerp,CH,,6,Rural,Pebbels,20170522,Cleanup,,8.534584747,47.57331594,8.534512568,47.57334535,3,0,0,0,0,0,0
634,Surfrider Foundation Europe,"144 Via Roma, 00055 Ladispoli, Italie",IT,Mediterranean Sea,83,,,20150531,Cleanup,,12.0491,41.9575,12.0501,41.9575,4300,0,0,0,0,0,0
635,DeFishGear - Slovenia,Seca 2 - Lucija,SI,Mediterranean Sea,392,Urban,Other (mixed),20170923,Cleanup,,13.58826373,45.49990239,13.5900018,45.50321108,284,0,0,8,8,2,0
636,Swiss Litter Report,katzensee_regensdorfzuerichaffoltern_stueberj,CH,,63,,,20171106,Cleanup,,8.492924315,47.43112814,8.493669863,47.43138512,72,0,0,13,28,0,1
637,Legambiente Onlus,Grotta della Cala Camerota (SA),IT,Unknown,100,,,20180420,Monitoring,,0.000138161,0.000359332,0.00013817,0.000359332,29,4,0,2,0,10,0
638,Swiss Litter Report,reuss_ottenbach_schoenenbergerl,CH,,11,Rural,Other (mixed),20170427,Cleanup,,8.394224168,47.27835446,8.394188671,47.27845497,16,0,0,1,12,0,0
639,DeFishGear - Slovenia,Debeli rtic 3,SI,Mediterranean Sea,334,Rural,Pebbels,20170923,Cleanup,,13.70690794,45.58817652,13.70341054,45.58990537,486,0,3,19,120,306,0
640,Surfrider Foundation Europe,"51 Rue du Perzel, 29217 Plougonvelin, France",FR,North-east Atlantic Ocean,73,,,20150418,Cleanup,,-4.7011,48.3395,-4.7001,48.3395,1134,5,1,0,12,12,0
641,Swiss Litter Report,unterdsee_ermatingen_brunkem,CH,,25,Urban,Pebbels,20170728,Cleanup,,9.081246182,47.67263329,9.081077475,47.67243646,42,1,0,0,4,1,2
642,"Aarhus University, Denmark ",MSFD Nymindegab,DK,North-east Atlantic Ocean,100,Rural,Sandy,20150715,Monitoring,,8.163800428,55.84143681,8.164009136,55.84054878,360,28,4,21,0,2,2
643,"Aarhus University, Denmark ",MSFD Skagen,DK,North-east Atlantic Ocean,99,Rural,Other (mixed),20180415,Monitoring,,10.58123183,57.74860901,10.58281088,57.74891554,314,15,3,28,20,81,10
644,Legambiente Onlus,"Spiaggia Saline, Centola (SA)",IT,Mediterranean Sea,100,,,20170429,Monitoring,,15.28369,40.048,15.28469,40.048,266,44,1,6,45,6,0
645,DeFishGear - Slovenia,Debeli rtic 5,SI,Mediterranean Sea,371,Urban,Pebbels,20170923,Cleanup,,13.7250664,45.58045053,13.72152609,45.58267521,849,3,1,6,56,73,0
646,Swiss Litter Report,langete_langenthal_geiserm,CH,,14,Urban,Pebbels,20170921,Cleanup,,7.792304073,47.21653324,7.792293051,47.21640588,5,0,0,1,16,7,0
647,Surfrider Foundation Europe,"avenue des dunes, 85470 bretignolles sur mer, France",FR,North-east Atlantic Ocean,76,,,20150405,Cleanup,,-1.85496,46.6071,-1.85396,46.6071,0,0,2,0,0,5,0
648,Swiss Litter Report,Aare_bern_gerberm,CH,,89,,,20170926,Cleanup,,7.452097669,46.98936306,7.451373357,46.98999934,65,4,99,2,92,17,0
649,Swiss Litter Report,Rhein_Beach near Tinguely Museum_Bolger. O_Sigrist F.,DE,,186,Urban,Pebbels,20170520,Cleanup,,7.612153634,47.55864389,7.614550071,47.55909708,550,13,0,129,2080,235,2
650,Plastic Change,Roskilde Vig Syd,DK,North-east Atlantic Ocean,100,Rural,Pebbels,20170426,Monitoring,,12.06463072,55.656057,12.066131,55.65575,2,0,0,4,0,60,0
651,Swiss Litter Report,Birs_basel_läderachs,CH,,28,Urban,Pebbels,20170528,Cleanup,,7.62259813,47.54604972,7.622613868,47.54629724,42,0,0,47,8,12,0
652,Swiss Litter Report,Limmat_Zuerich_JansenA,CH,,54,,,20171214,Cleanup,,8.484684679,47.40002469,8.484395636,47.40047043,1,0,0,5,4,0,0
653,Perseus,Mangalia 1,RO,Black Sea,2081,Urban,Sandy,20141006,Cleanup,,28.58960172,43.80935175,28.59300129,43.82791516,441,0,0,16,0,20,0
654,Independent,Kalogria,GR,Mediterranean Sea,267,Rural,Sandy,20180322,Monitoring,,21.36451426,38.164382,21.36499756,38.16200321,34,0,0,0,0,0,0
655,Surfrider Foundation Europe,"ER1-2 Flores, Azores 9970, Portugal",PT,North-east Atlantic Ocean,87,,,20150322,Cleanup,,-31.1488,39.4749,-31.1478,39.4749,172,0,0,0,40,15,0
656,Legambiente Onlus,Spiaggia Canovella de' Zoppoli - Duino Aurisina (TS),IT,Unknown,100,,,20180411,Monitoring,,0.000122674,0.00041097,0.000122683,0.00041097,886,12,2,9,56,4,0
657,Legambiente Onlus,Spiaggia libera a Battipaglia (SA),IT,Mediterranean Sea,100,,,20160507,Cleanup,,14.89603,40.56303,14.89703,40.56303,526,4,2,43,21,1,0
658,Surfrider Foundation Europe,"141 Via Roma, 00055 Ladispoli, Italie",IT,Mediterranean Sea,83,,,20160319,Cleanup,,12.0521,41.9599,12.0531,41.9599,2919,0,0,0,0,0,0
659,Swiss Litter Report,sihl_leimbach_kruegerm,CH,,99,Urban,Pebbels,20171225,Cleanup,,8.519119455,47.32543607,8.519485579,47.32629067,0,0,0,0,0,3,0
660,Surfrider Foundation Europe,"Beg an Dorchen Plomeur, 29120 Plomeur, France",FR,North-east Atlantic Ocean,74,,,20150405,Cleanup,,-4.34846,47.8373,-4.34746,47.8373,2483,40,20,0,240,170,0
661,Plastic Change,Ishøj Strand,DK,Baltic Sea,845,Urban,Sandy,20171028,Cleanup,,12.39957545,55.60588667,12.38713517,55.60283967,138,0,4,0,0,0,0
662,Surfrider Foundation Europe,"2 Boulevard Saint-Asile, 83430 Saint-Mandrier-sur-Mer, France",FR,Mediterranean Sea,81,,,20160317,Cleanup,,5.90731,43.0718,5.90831,43.0718,2108,1,9,0,140,38,0
663,Independent,"Plage de Pomegues (Marseille, France)",FR,Mediterranean Sea,58,Urban,Sandy,20140521,Cleanup,,5.299574568,43.27011527,5.29956326,43.26959361,1135,5,4,26,60,143,2
664,Swiss Litter Report,Thur_Schoenenberg_SchaerA,CH,,96,Rural,Other (mixed),20170920,Cleanup,,9.198334671,47.52407261,9.197132864,47.52438768,4,0,0,0,36,0,0
665,Surfrider Foundation Europe,"14 Avenida Alto da Vela, Silveira Silveira, Portugal",PT,North-east Atlantic Ocean,87,,,20150712,Cleanup,,-9.38912,39.1266,-9.38812,39.1266,640,0,1,0,40,0,0
666,Swiss Litter Report,ZugerseeCholler_Cham_BlarerM,CH,,36,,,20170512,Cleanup,,8.48001275,47.17821571,8.480429569,47.17805451,43,4,1,6,20,2,1
667,Surfers Against Sewage,"Towan Beach, Newquay",UK,North-east Atlantic Ocean,87,Urban,Sandy,20150411,Cleanup,,-5.084430559,50.41515316,-5.083201283,50.4152327,35,4,1,0,48,0,0
668,Legambiente Onlus,"Cala Sala - Cala Incina, Polignano a Mare (BA)",IT,Mediterranean Sea,100,,,20150510,Monitoring,,17.25751,40.9802,17.25851,40.9802,46,0,0,2,17,6,0
669,Swiss Litter Report,Rhein_Basel_BlarerP_1,DE,,38,,,20171216,Cleanup,,7.587318068,47.58940625,7.587464405,47.58973545,48,0,0,3,40,1,1
670,Surfrider Foundation Europe,"14 Rue de la Carrière, 56610 Arradon, France",FR,North-east Atlantic Ocean,74,,,20150620,Cleanup,,-2.82952,47.6143,-2.82852,47.6143,130,0,3,0,28,110,0
671,Swiss Litter Report,emme_biberist_jennim,CH,,15,Urban,Other (mixed),20170519,Cleanup,,7.558994821,47.16922077,7.558936715,47.16909278,9,0,0,1,0,0,0
672,Swiss Litter Report,Rhein_Beach near Tinguely Museum_Bolger. O_Sigrist F.,DE,,186,Urban,Pebbels,20180324,Cleanup,,7.612153634,47.55864389,7.614550071,47.55909708,189,8,2,48,416,358,0
673,Surfrider Foundation Europe,"Plage du dellec, Plouzan?, France., 29280 Plouzan?, France",FR,North-east Atlantic Ocean,73,,,20150314,Cleanup,,-4.56465,48.3556,-4.56365,48.3556,118,0,0,0,44,210,0
674,Swiss Litter Report,Töss_Winterthur 2,CH,,37,Rural,Rocky,20170513,Cleanup,,8.708426391,47.47870731,8.708630027,47.47901493,0,0,0,0,4,1,0
675,Legambiente Onlus,"Spiaggia Grotta della Cala, Camerota (SA)",IT,Mediterranean Sea,100,,,20170428,Monitoring,,15.37994,40.00066,15.38094,40.00066,249,41,13,49,32,8,0
