"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
13074,"Chennai, Tamil Nadu, India",,India,"13.036663621886, 80.280876159668","Land (beach, shoreline and inland)",2016-09-17,"Shyam Kumar",135,0,135,4228.47,1.86,200,241,254,396,56,400,112,192,138,113,724,2552,340,367,541,25,45,332,274,12,19,2,30,0,2,120,410,64,341,0,0,71,65,30,300,2,19,0,0,65,79,6,0,0,40,98,125,9002
13079,"Chennai, Tamil Nadu, India","Tamil Nadu, India",India,"13.031763815385, 80.27074813843","Land (beach, shoreline and inland)",2016-09-17,Rufus,230,0,230,511.47,1.24,29,150,200,155,168,125,140,127,55,68,396,250,100,450,600,36,49,85,92,0,0,0,0,0,1,15,63,12,99,0,0,25,13,11,0,0,19,0,0,36,98,15,0,0,12,52,67,3784
13109,"Uttara Kannada, Karnataka, India","Karnataka, India",India,"14.810700341002, 74.126397371302","Land (beach, shoreline and inland)",2016-09-17,"Col GS Nagar",110,0,110,771.62,1.86,30,265,56,192,21,110,134,126,15,22,246,179,89,116,391,35,20,26,78,12,35,0,29,0,1,11,48,16,54,0,0,12,15,36,79,2,2,0,0,1,42,3,0,0,12,84,119,2734
13110,"North Goa, Goa, India","Goa, India",India,"15.549238582492, 73.753623962443","Land (beach, shoreline and inland)",2016-10-01,"Maj Sivaji B Dharwadkar",85,0,85,716.5,6.21,25,280,140,139,106,172,145,138,98,57,179,149,394,197,163,100,141,135,77,0,0,0,2,0,17,38,102,52,202,0,3,138,147,167,20,109,12,0,0,19,74,27,30,0,93,145,183,4390
13111,"Majorda, Goa, India","Goa, India",India,"15.280696409736, 73.911809921306","Land (beach, shoreline and inland)",2016-09-24,"Maj Ashok Mangutkar",80,0,80,1014.13,3.11,22,208,69,123,12,115,300,89,19,12,192,424,16,512,130,11,19,21,42,0,10,2,13,0,3,42,19,17,65,0,0,12,15,23,168,12,9,0,0,15,49,20,12,0,25,91,56,2992
13112,"South Goa, Goa, India","Goa, India",India,"15.280579742331, 73.912239074748","Land (beach, shoreline and inland)",2016-09-17,"Capt Sanjay",50,0,50,1664.49,3.11,40,210,110,210,16,151,54,39,43,19,420,630,154,713,210,52,16,67,19,3,10,9,21,0,1,15,11,12,37,0,0,65,12,33,108,3,19,0,0,49,70,26,41,0,13,55,164,3910
13113,"South Goa, Goa, India","Goa, India",India,"15.281027594854, 73.91206741333","Land (beach, shoreline and inland)",2016-10-01,"Juao Costa",64,0,64,1157.43,3.11,16,65,29,134,15,64,50,39,70,13,113,72,93,390,600,9,10,33,26,0,0,0,0,0,3,230,162,15,101,0,0,23,1,15,69,3,6,0,0,15,3,11,6,0,15,37,69,2609
13114,"Arambol, Goa 403519, India","Goa, India",India,"15.687621370765, 73.702983856365","Land (beach, shoreline and inland)",2016-09-17,"Lt.Sam Braganza",88,0,88,1146.4,4.97,26,65,243,56,50,248,97,11,162,30,367,299,67,62,159,78,47,228,23,12,53,23,52,0,1,42,18,22,32,0,4,2,42,5,32,10,4,0,0,4,11,14,0,0,158,36,144,3013
13115,"North Goa, Goa, India","Goa, India",India,"15.482745648324, 73.807311058085","Land (beach, shoreline and inland)",2016-10-01,"Dr. Miskil Naik",250,55,305,2385.4,3.11,50,69,33,890,19,310,125,320,65,19,600,450,497,1354,935,65,110,120,92,0,0,0,1,0,1,126,90,6,37,0,0,0,12,30,0,0,4,0,0,15,10,0,0,0,15,26,114,6560
13116,"Thiruvananthapuram, Kerala, India","Kerala, India",India,"8.4785424847706, 76.911892890951","Land (beach, shoreline and inland)",2016-10-01,Shagi,247,0,247,1730.63,3.11,100,128,20,300,69,20,159,79,15,30,560,630,220,963,658,35,19,92,114,0,0,0,0,0,3,200,124,12,68,0,0,10,24,10,108,0,39,0,0,24,96,65,15,0,13,65,128,5115
13117,"Kannur, Kerala, India","Kerala, India",India,"11.797098171971, 75.444231033407","Land (beach, shoreline and inland)",2016-10-08,"Rahul shingare",100,10,110,584.22,3.11,30,4,23,65,43,54,12,3,8,16,110,320,36,167,185,6,11,19,32,0,0,0,0,0,0,65,36,1,37,0,0,12,3,1,24,2,3,0,0,1,9,3,12,0,15,32,46,1416
13118,"Ernakulam, Kerala, India","Kerala, India",India,"9.958514140814, 76.258077621542","Land (beach, shoreline and inland)",2016-10-15,Dinesh,110,0,110,998.69,3.11,25,0,25,164,36,96,35,15,6,2,156,350,95,400,352,32,14,59,22,0,0,0,0,0,0,65,34,5,66,0,0,2,0,3,0,1,36,0,0,3,15,1,6,0,15,99,135,2345
15148,"Chennai, Tamil Nadu, India",,India,"13.050361470167, 80.282335281372","Land (beach, shoreline and inland)",2016-10-16,"Bank of America Team - IMF",75,0,75,2028.25,1.24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
