CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,NatRef,lon_x1,lat_y1,lon_x2,lat_y2,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100,G101,G102,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G137,G138,G139,G140,G141,G142,G143,G144,G145,G147,G148,G150,G151,G152,G153,G154,G155,G156,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G171,G172,G174,G175,G176,G177,G178,G179,G180,G181,G182,G184,G186,G187,G188,G189,G190,G191,G193,G194,G195,G198,G199,G200,G201,G202,G203,G204,G205,G206,G207,G208,G210,G211,G213
Surfrider Foundation Europe,"25 Rue du Castel, 14520 Port-en-Bessin-Huppain, France",FR,North-east Atlantic Ocean,72,,,20160109,Cleanup,,-0.754409,49.3493,-0.753409,49.3493,,23,,,310,,,40,,,,,,,,,,,,,,,13,2,,,,,,,,,,,,,,,,,,,,,,,,260,,,,,,,,,,,,,37,14,,,,,223,,562,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,40,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,56,,8,,,,,,,,,,,
Independent,clogherhead 1000m louth,IE,North-east Atlantic Ocean,728,,,20160427,Cleanup,,-6.231634643,53.788766,-6.237113103,53.78306094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mare Nostrum,Constanta,RO,Black Sea,105,Urban,Sandy,20161011,Cleanup,,28.65538,44.19412,28.65575,44.19321,,,23,1,3,2,,1,2,1,,,,,,,,38,14,7,5,10,1,6602,,3,71,13,3,3,5,263,,1,,,,,,,,,,12,,,,1,,,,,,,,,5,,,,,,,3,1,,10,,,,,,,2,,,,,,,4,,,,,,,,,3,,,,,,,,,3,2,,,,,,,,26,,16,,,9,39,2,,,94,2,,6,,,,29,,1,36,2,,4,,8,83,,,,,,,,,,,7,,,,1,,2,,,,3,,,,,,3,
DeFishGear - Slovenia,Porat,SI,Mediterranean Sea,71,,Pebbels,20150415,Monitoring,Croatia,14.29015576,44.51666263,14.28949057,44.51709407,,,,,28,32,,24,16,,8,,,12,,,,8,,,,4,,,4,,,,,,,,,,,,,,,4,,,,,,,,,,,,,12,,,,,,,,,,,,,,8,,999,999,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,4,,,
Independent,Northern Texel beach,NL,North-east Atlantic Ocean,1315,Rural,Sandy,20180917,Cleanup,,4.851941471,53.18137407,4.868717069,53.17520489,,12,58,,4,1,,6,,,,,,,,,,33,,,,,,22,,,8,,,,6,42,,,,,,,,9,,,,469,,95,,,,,,,,,,,,,,,,,,5,57,,,,9,,,,,,,,,,,,3,,,,,,,,20,,,,,1,,,,,,,,,,,,,,11,,,,,,,,,6,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,
Swiss Litter Report,Thur_Schoenenberg_SchaerA,CH,,96,Rural,Other (mixed),20170914,Cleanup,,9.198334671,47.52407261,9.197132864,47.52438768,,0,0,,0,0,,1,,,0,,,,,,,0,0,1,0,0,0,7,0,,0,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,0,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,1,0,0,,0,,,0,,0,0,0,0,,,,0,,0,0,0,,,0,0,0,0,0,15,0,0,0,,,,,0,,0,0,0,,2,0,0,1,0,,,0,,,,0,,,0,,0,0,0,1,0,,,0,0,,,,1,0,0,0
Swiss Litter Report,Thur_Schoenenberg_SchaerA,CH,,96,Rural,Other (mixed),20170925,Cleanup,,9.198334671,47.52407261,9.197132864,47.52438768,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,10,0,,0,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,1,1,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,,,0,,0,0,0,0,,,,0,,0,0,0,,,0,0,0,0,0,4,0,0,0,,,,,0,,0,0,0,,0,0,0,0,0,,,0,,,,0,,,0,,0,0,2,0,0,,,0,0,,,,0,0,0,0
Legambiente Onlus,"Spiaggia delle Mortelle, Portici (NA)",IT,Mediterranean Sea,100,,,20170418,Monitoring,,14.33576,40.80679,14.33676,40.80679,,10,,,16,20,30,10,5,6,,,,,,,,10,,2,10,,15,100,,,200,100,4,5,10,,,30,10,7,6,,,,,,,10,,5,6,,,,,,15,,,,,,,,,,,10,,,50,10,,,,,,4,,,,,20,,,,,,50,,,,,,,,,,,,,,10,25,,,,5,,,,,10,5,2,15,20,,,,,50,,,,,,,,,,,,,20,,2,20,,,,,,,,,,,,,,,10,,20,,,,4,,,,5,,,
Swiss Litter Report,limmat_z¸rich_mortensena_meiera,CH,,29,,,20170504,Cleanup,,8.485410987,47.40025153,8.485633769,47.4000375,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,2,0,,5,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,2,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,1,0,,0,0,0,,0,,,2,,0,0,0,0,,,,0,,0,0,0,,,0,0,0,0,0,7,2,0,0,,,,,0,,0,0,0,,1,0,2,9,0,,,0,,,,0,,,1,,0,0,1,0,0,,,0,0,,,,9,0,1,1
Surfrider Foundation Europe,"117 Avenue de la Jet?e, 83500 La Seyne-sur-Mer, France",FR,Mediterranean Sea,81,,,20150321,Cleanup,,5.8977,43.078,5.8987,43.078,,20,20,,,,,10,,,,,,,,,,10,,,,,,100,,,,,,5,,10,,,,,,,,,,,,10,,,,10,,,20,,,,,,,,,,,,,,,,30,,20,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,5,,5,,,,,,,,,,,
Swiss Litter Report,aare_rupperswil_badert,CH,,46,,,20170714,Cleanup,,8.112553668,47.41030895,8.112171449,47.41063741,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,5,0,,3,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,0,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,2,,0,0,0,,0,,,0,,0,0,0,0,,,,0,,0,0,0,,,0,0,0,0,0,0,1,0,0,,,,,0,,0,0,0,,0,0,1,0,0,,,0,,,,0,,,0,,0,0,1,0,0,,,0,0,,,,0,0,0,0
Swiss Litter Report,vierwaldst‰ttersee_weggis_schˆberls_3,CH,,67,,,20170910,Cleanup,,8.410800962,47.02995659,8.41128942,47.02945143,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,1,0,6,0,,0,1,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,6,0,8,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,,,0,,0,0,0,0,,,,0,,0,1,0,,,0,0,0,0,0,0,0,0,0,,,,,0,,0,1,0,,0,0,1,0,0,,,0,,,,0,,,0,,0,0,0,0,0,,,0,0,,,,3,0,1,0
Legambiente Onlus,"Spiaggia Morghella, Pachino (SR)",IT,Mediterranean Sea,100,,,20140522,Cleanup,,15.11238,36.6735,15.11338,36.6735,3,11,2,,37,9,20,3,,6,12,2,,3,,4,1,46,,,,,9,224,2,1,16,,,54,39,,,38,2,,,,,,,,50,10,,,,,,3,,,,,,2,,,,,,6,,,36,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,17,,2,13,21,,,,,121,4,,,3,,,,2,,46,21,3,15,,9,76,,,,,,2,,,,4,,,,,2,,98,,,,,,,,,4,,
Independent,Praia de Seselle,ES,North-east Atlantic Ocean,1328,Rural,Sandy,20180516,Cleanup,,-8.233085274,43.42974381,-8.218277582,43.42458368,,5,5,1,,4,9,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Surfrider Foundation Europe,"Rue de Fontreven, 22120 Hillion, France",FR,North-east Atlantic Ocean,73,,,20150409,Cleanup,,-2.65401,48.5258,-2.65301,48.5258,,15,,,5,5,,25,,,,,,,,,,25,,,,,1,10,,,15,30,1,5,5,,,,,,,,,,,,,50,,,,80,,,,,,,,,,,,,30,1,,,,,50,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,,50,,,
Swiss Litter Report,limmat_zuerich_suterd&glauserp,CH,,42,,,20170712,Cleanup,,8.513443532,47.39453926,8.5139733,47.3944089,,0,1,,1,0,,0,,,0,,,,,,,4,0,0,0,7,0,119,0,,13,0,0,0,1,3,,0,,,,,,,,,0,1,0,,,,,,0,,,,,0,1,0,,,0,0,,,,,21,0,4,0,,,,0,,0,0,0,,0,0,0,,,0,1,0,,0,2,0,,0,,,0,,0,0,0,0,,,,0,,0,1,0,,,0,0,1,0,0,5,0,0,0,,,,,2,,0,0,0,,0,0,0,2,0,,,0,,,,0,,,0,,0,0,4,0,1,,,0,0,,,,1,0,1,0
Swiss Litter Report,Emme_Utzenstorf_Gr¸ttert,CH,,9,Rural,Other (mixed),20180327,Cleanup,,7.539627,47.123696,7.53951,47.12369645,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,0,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,2,,0,0,0,,1,,,0,,0,0,0,0,,,,0,,0,1,0,,,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,0,,0,0,0,0,0,,,0,,,,0,,,0,,0,0,1,0,0,,,0,0,,,,0,0,0,0
Swiss Litter Report,unterdsee_ermatingen_brunkem,CH,,25,Urban,Pebbels,20170522,Cleanup,,9.081246182,47.67263329,9.081077475,47.67243646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surfrider Foundation Europe,"26 AllÈe LoÔc Caradec, 56000 Vannes, France",FR,North-east Atlantic Ocean,74,,,20150515,Cleanup,,-2.76376,47.632,-2.76276,47.632,,80,,,4,40,,40,,,,,,,,,,12,,,,,20,800,,,120,120,,30,,40,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,20,,60,,,,,,,,,,,,80,,,,,2,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,4,,,,,,,,,,800,,,
Swiss Litter Report,zuerichsee_zurich_kullg,CH,,53,,,20170728,Cleanup,,8.550474341,47.35395734,8.55053981,47.3544311,,0,15,,2,0,,5,,,0,,,,,,,17,0,11,2,51,3,389,3,,95,8,4,10,9,11,,0,,,,,,,,,0,4,0,,,,,,0,,,,,0,0,2,,,0,0,,,,,120,0,61,0,,,,4,,0,2,0,,0,12,12,,,0,2,0,,0,16,0,,0,,,0,,0,0,1,1,,,,0,,3,0,0,,,1,0,0,0,2,10,0,13,0,,,,,1,,0,14,0,,0,0,10,31,0,,,0,,,,0,,,0,,0,0,1,0,1,,,0,2,,,,28,0,7,10
Swiss Litter Report,Birs_Reinach_DiNucciN,CH,,36,Rural,Rocky,20170930,Cleanup,,7.607008497,47.5036817,7.607005388,47.50400169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Litter Report,aare_suhrespitz_badert,CH,,55,,,20171013,Cleanup,,8.066017963,47.40566917,8.065563868,47.40528554,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,53,0,,5,0,0,0,0,0,,0,,,,,,,,,0,1,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,17,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,,,0,,0,0,0,0,,,,2,,0,0,0,,,0,0,0,0,0,12,0,0,0,,,,,0,,0,0,9,,0,0,4,2,0,,,0,,,,0,,,0,,0,0,0,0,0,,,0,0,,,,0,0,0,0
Plastic Change,Lejre Vig I,DK,North-east Atlantic Ocean,97,Rural,Other (mixed),20160415,Monitoring,,11.965765,55.675735,11.96423,55.675801,,1,,,1,,,,,,,,,,,,,2,1,,1,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,5,,,,,1,,,,,,,1,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,
Swiss Litter Report,laclÈman_gland_kubela,CH,,7,Rural,Rocky,20170525,Cleanup,,6.281935828,46.40286928,6.281920386,46.40293208,,,9,,,,,,,,,,,,,,,10,1,,,,,,,,,3,,7,,,,,,,,,,,,,,1,,,,,,,,,,,,,,8,,,,,,,,,22,,,10,,,,1,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,1,,2,,,,8,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeFishGear - Slovenia,Piran MS Monitoring ,SI,Mediterranean Sea,98,Urban,Pebbels,20141203,Cleanup,,13.57499749,45.52819299,13.576006,45.52767109,,,,,2,,,8,,,,,,,,,,2,1,1,,,,8,,,,1,,,,1,,,,,,,,8,,,,2,,,,,,,,,,,,,1,1,,,1,,,,,,4,,51,,,,,,,,,,,,9,,,,1,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,1,,,,,,,,,,,,1,,,,3,,2,,,,11,,,,69,,1,
Swiss Litter Report,Sihl_Adliswil_Oggi_Fort,CH,,53,,,20170821,Cleanup,,8.526254935,47.31242173,8.526473899,47.31196494,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,5,0,58,0,,5,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,0,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,,,0,,0,0,0,0,,,,0,,0,0,0,,,1,0,0,0,0,4,1,0,0,,,,,0,,0,0,0,,3,0,0,1,0,,,0,,,,0,,,0,,0,0,0,0,0,,,0,0,,,,3,0,0,0
Legambiente Onlus,"Spiaggia dell Area protetta Dunale, Eboli (SA)",IT,Mediterranean Sea,100,,,20170419,Monitoring,,14.93282,40.49814,14.93382,40.49814,,8,15,,52,63,9,2,,8,7,1,1,4,1,8,5,59,20,16,6,1,4,7,5,,6,3,1,32,2,5,,,,,2,2,,1,8,,2,3,,1,,9,1,,7,,,,,1,1,1,,,1,6,,12,,,73,1,36,3,,,,1,,1,1,,4,,,7,,1,1,2,,1,51,3,1,,1,,,2,,1,4,3,3,1,,1,1,1,,10,,1,,,1,,,,11,,2,,2,,,,,,,7,,,4,1,1,,,,,,1,,,4,,,1,,,,1,1,11,,,,2,,,,6,1,3,
Mare Nostrum,Saturn,RO,Black Sea,102,Urban,Sandy,20180416,Monitoring,,28.59051,43.83461,28.59055,43.83369,,,103,,25,22,,,,,,,,,,,,127,23,,10,6,1,168,,4,37,14,8,54,6,81,9,,,,,,,,,,5,14,,,1,,,,,,,,,,16,,,,,,,26,,,214,,1,,,,,4,,,,,,6,22,,,,2,,,,5,2,,,,1,,,,,2,7,,,,,15,,,25,1,,,,2,2,,,,,2,,19,,,,5,,,,,,23,,,45,,,,,,,,,,,6,,,,25,1,96,,,,11,,,,,,1,
