,Unnamed: 0,CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,NatRef,lon_x1,lat_y1,lon_x2,lat_y2,Plastic,Plastic.1,Plastic.2,Plastic.3,Plastic.4,Plastic.5,Plastic.6,Plastic.7,Plastic.8,Plastic.9,Plastic.10,Plastic.11,Plastic.12,Plastic.13,Plastic.14,Plastic.15,Plastic.16,Plastic.17,Plastic.18,Plastic.19,Plastic.20,Plastic.21,Plastic.22,Plastic.23,Plastic.24,Plastic.25,Plastic.26,Plastic.27,Plastic.28,Plastic.29,Plastic.30,Plastic.31,Plastic.32,Plastic.33,Plastic.34,Plastic.35,Plastic.36,Plastic.37,Plastic.38,Plastic.39,Plastic.40,Plastic.41,Plastic.42,Plastic.43,Plastic.44,Plastic.45,Plastic.46,Plastic.47,Plastic.48,Plastic.49,Plastic.50,Plastic.51,Plastic.52,Plastic.53,Plastic.54,Plastic.55,Plastic.56,Plastic.57,Plastic.58,Plastic.59,Plastic.60,Plastic.61,Plastic.62,Plastic.63,Plastic.64,Plastic.65,Plastic.66,Plastic.67,Plastic.68,Plastic.69,Plastic.70,Plastic.71,Plastic.72,Plastic.73,Plastic.74,Plastic.75,Plastic.76,Plastic.77,Plastic.78,Plastic.79,Plastic.80,Plastic.81,Plastic.82,Plastic.83,Plastic.84,Plastic.85,Plastic.86,Plastic.87,Plastic.88,Rubber,Rubber.1,Rubber.2,Rubber.3,Rubber.4,Rubber.5,Rubber.6,Rubber.7,Rubber.8,Rubber.9,cloth/textile,cloth/textile.1,cloth/textile.2,cloth/textile.3,cloth/textile.4,cloth/textile.5,cloth/textile.6,cloth/textile.7,cloth/textile.8,Paper/Cardboard,Paper/Cardboard.1,Paper/Cardboard.2,Paper/Cardboard.3,Paper/Cardboard.4,Paper/Cardboard.5,Paper/Cardboard.6,Paper/Cardboard.7,Paper/Cardboard.8,Paper/Cardboard.9,Processed/worked wood,Processed/worked wood.1,Processed/worked wood.2,Processed/worked wood.3,Processed/worked wood.4,Processed/worked wood.5,Processed/worked wood.6,Processed/worked wood.7,Processed/worked wood.8,Processed/worked wood.9,Processed/worked wood.10,Metal,Metal.1,Metal.2,Metal.3,Metal.4,Metal.5,Metal.6,Metal.7,Metal.8,Metal.9,Metal.10,Metal.11,Metal.12,Metal.13,Metal.14,Metal.15,Metal.16,Metal.17,Metal.18,Metal.19,Metal.20,Glass/ceramics,Glass/ceramics.1,Glass/ceramics.2,Glass/ceramics.3,Glass/ceramics.4,Glass/ceramics.5,Glass/ceramics.6,Glass/ceramics.7,Glass/ceramics.8,Glass/ceramics.9,Unidentified,Chemicals,Plastic_sum,Rubber_sum,Cloth_textile_sum,Paper_cardboard_sum,Processed_worked_sum,Metal_sum,Glass_ceramic_sum,unidentified,chemicals
10,10,Swiss Litter Report,greifensee_fällanden_meistery,CH,,57,,,20170508,Cleanup,,8.653722815611435,47.3609381350552,8.653419634203045,47.36140591635577,,4.0,2.0,,0.0,0.0,,0.0,,,2.0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,50.0,0.0,,19.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,1.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,22.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,33.0,1.0,0.0,0.0,9.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,1.0,0.0,,,0.0,3.0,,,,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,44.0,3.0,0.0,0.0
11,11,Independent,pineto ,IT,Mediterranean Sea,179,,,20160505,Cleanup,,14.066895922188511,42.61205969926628,14.067977947439813,42.61066325691915,,1.0,0.0,,1.0,1.0,,5.0,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,
12,12,Swiss Litter Report,aare_köniz_hoppej,CH,,22,,,20180124,Cleanup,,7.458170283421428,46.934588497885635,7.458467185606008,46.934573813720256,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,2.0,0.0,1.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,1.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,33.0,0.0,0.0,3.0,8.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,3.0,0.0,0.0,0.0,20.0,1.0,0.0,3.0,0.0,44.0,3.0,0.0,0.0
13,13,DeFishGear - Slovenia,Strunjan MS Monitoring ,SI,Mediterranean Sea,101,Urban,Pebbels,20150318,Monitoring,,13.602257556243627,45.535935453931614,13.601887411719035,45.536805323786346,,7.0,,,1.0,,,7.0,,,,,,,,,,2.0,1.0,,3.0,5.0,,98.0,,,,1.0,,1.0,1.0,3.0,,,,,,,,15.0,,,1.0,9.0,,2.0,,,,,4.0,,,,,,1.0,2.0,,,1.0,,,,,,14.0,,16.0,,,,,,1.0,9.0,,,,1.0,7.0,,,,,,,,3.0,0.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,6.0,,,,1.0,,,,,,,1.0,,21.0,,,2.0,3.0,,,,,,,,,,,1.0,,,,1.0,,5.0,,,1.0,10.0,,,,85.0,,,,216.0,0.0,2.0,8.0,2.0,28.0,101.0,,
14,14,Independent,praia da Lagoa,PT,North-east Atlantic Ocean,1,Urban,Sandy,20150503,Cleanup,,-8.775482081696953,41.39169019519832,-8.775477291879861,41.39169915432192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
15,15,Swiss Litter Report,aare_kehrsatz_stolten,CH,,46,,,20170614,Cleanup,,7.488301148879932,46.923571896775314,7.488904816750858,46.92352772293018,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,1.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,1.0,,,,1.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0
16,16,Surfrider Foundation Europe,"66 Route de la Pointe du Bill, 56860 Séné, France",FR,North-east Atlantic Ocean,74,,,20150801,Cleanup,,-2.7340499999699257,47.60040000008674,-2.7330499998871933,47.60040000008674,,15.0,,,10.0,3.0,,15.0,,,,,,,,,,15.0,,,,,8.0,300.0,,,30.0,10.0,,5.0,4.0,10.0,,,,,,,,,,,,8.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,3.0,,,,,,,,,0.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,8.0,,,,,,,,,,,,,,,,,,2.0,,3.0,,,,,,,,300.0,,,,441.0,0.0,3.0,0.0,0.0,40.0,303.0,,
17,17,Hold Danmark Rent,Køge Strand,DK,Baltic Sea,431,,,20131021,Cleanup,,12.195994459058705,55.47257394326394,12.197729695167153,55.4763216635202,,10.0,,,5.0,,,2.0,,,,,,,,,,7.0,,,,,1.0,155.0,,,16.0,,,,5.0,2.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,1.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,10.0,4.0,,,,,,,,,,4.0,,,,,,,1.0,,2.0,1.0,1.0,,3.0,2.0,,,,,,,,,,,,,,,,45.0,9.0,,1.0,4.0,1.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,226.0,4.0,5.0,9.0,0.0,60.0,4.0,,
18,18,Surfrider Foundation Europe,"2 All?e de Barqueroute, 13620 Carry-le-Rouet, France",FR,Mediterranean Sea,81,,,20150317,Cleanup,,5.1602899995901605,43.32910000007764,5.161289999672891,43.32910000007764,,10.0,6.0,,,,,5.0,,,,,,,,,,15.0,,,,,15.0,,,,,15.0,,,,20.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,100.0,,,,,,,,,,,,25.0,,,,,,,,,3.0,,,,,1.0,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,15.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,215.0,4.0,10.0,0.0,0.0,20.0,30.0,,
19,19,Swiss Litter Report,greifensee_uster_fischerb_ 2,CH,,25,Urban,Pebbels,20170619,Cleanup,,8.689880502565607,47.347436046886756,8.689901364141468,47.34720765612893,,0.0,2.0,,0.0,0.0,,0.0,,,0.0,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,,2.0,0.0,0.0,0.0,0.0,1.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,4.0,,,0.0,0.0,,,,,3.0,0.0,2.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,38.0,0.0,,0.0,,,1.0,,0.0,1.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,38.0,40.0,0.0,12.0,0.0,8.0,0.0,0.0,0.0
