,Unnamed: 0,CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,NatRef,lon_x1,lat_y1,lon_x2,lat_y2,Plastic,Plastic.1,Plastic.2,Plastic.3,Plastic.4,Plastic.5,Plastic.6,Plastic.7,Plastic.8,Plastic.9,Plastic.10,Plastic.11,Plastic.12,Plastic.13,Plastic.14,Plastic.15,Plastic.16,Plastic.17,Plastic.18,Plastic.19,Plastic.20,Plastic.21,Plastic.22,Plastic.23,Plastic.24,Plastic.25,Plastic.26,Plastic.27,Plastic.28,Plastic.29,Plastic.30,Plastic.31,Plastic.32,Plastic.33,Plastic.34,Plastic.35,Plastic.36,Plastic.37,Plastic.38,Plastic.39,Plastic.40,Plastic.41,Plastic.42,Plastic.43,Plastic.44,Plastic.45,Plastic.46,Plastic.47,Plastic.48,Plastic.49,Plastic.50,Plastic.51,Plastic.52,Plastic.53,Plastic.54,Plastic.55,Plastic.56,Plastic.57,Plastic.58,Plastic.59,Plastic.60,Plastic.61,Plastic.62,Plastic.63,Plastic.64,Plastic.65,Plastic.66,Plastic.67,Plastic.68,Plastic.69,Plastic.70,Plastic.71,Plastic.72,Plastic.73,Plastic.74,Plastic.75,Plastic.76,Plastic.77,Plastic.78,Plastic.79,Plastic.80,Plastic.81,Plastic.82,Plastic.83,Plastic.84,Plastic.85,Plastic.86,Plastic.87,Plastic.88,Rubber,Rubber.1,Rubber.2,Rubber.3,Rubber.4,Rubber.5,Rubber.6,Rubber.7,Rubber.8,Rubber.9,cloth/textile,cloth/textile.1,cloth/textile.2,cloth/textile.3,cloth/textile.4,cloth/textile.5,cloth/textile.6,cloth/textile.7,cloth/textile.8,Paper/Cardboard,Paper/Cardboard.1,Paper/Cardboard.2,Paper/Cardboard.3,Paper/Cardboard.4,Paper/Cardboard.5,Paper/Cardboard.6,Paper/Cardboard.7,Paper/Cardboard.8,Paper/Cardboard.9,Processed/worked wood,Processed/worked wood.1,Processed/worked wood.2,Processed/worked wood.3,Processed/worked wood.4,Processed/worked wood.5,Processed/worked wood.6,Processed/worked wood.7,Processed/worked wood.8,Processed/worked wood.9,Processed/worked wood.10,Metal,Metal.1,Metal.2,Metal.3,Metal.4,Metal.5,Metal.6,Metal.7,Metal.8,Metal.9,Metal.10,Metal.11,Metal.12,Metal.13,Metal.14,Metal.15,Metal.16,Metal.17,Metal.18,Metal.19,Metal.20,Glass/ceramics,Glass/ceramics.1,Glass/ceramics.2,Glass/ceramics.3,Glass/ceramics.4,Glass/ceramics.5,Glass/ceramics.6,Glass/ceramics.7,Glass/ceramics.8,Glass/ceramics.9,Unidentified,Chemicals,Plastic_sum,Rubber_sum,Cloth_textile_sum,Paper_cardboard_sum,Processed_worked_sum,Metal_sum,Glass_ceramic_sum,unidentified,chemicals
249,249,Institute for Water of the Republic of Slovenia,Mesecev zaliv 2,SI,Mediterranean Sea,607810,Rural,Pebbels,20130920,Cleanup,,18.108375367468035,41.157065731812,13.609263080563275,45.53748768229642,,,2.0,,,1.0,1.0,3.0,,,,,,,,,,5.0,,1.0,2.0,1.0,,5.0,1.0,,2.0,,1.0,,,,,,,,,,,8.0,,,,,,1.0,,,,,2.0,,,,,,,,,,1.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,44.0,0.0,2.0,0.0,0.0,4.0,5.0,,
250,250,Surfrider Foundation Europe,"MARINA DI CURINGA Strada Statale 18, 88022 CURINGA, Italie",IT,Mediterranean Sea,88,,,20150614,Cleanup,,16.22109999993917,38.83850000031715,16.2221000000219,38.83850000031715,,100.0,,,10.0,20.0,,10.0,,,,,,,,,,90.0,,,,,20.0,60.0,,,10.0,30.0,,20.0,,20.0,,,,,,,,,,,,10.0,,,,10.0,,,20.0,,,,,,,,,,10.0,5.0,,,,,200.0,,40.0,,,,,,,,,,,,60.0,,,,,10.0,,,,0.0,,,,,,,,,,10.0,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,48.0,16.0,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,20.0,,,,755.0,0.0,20.0,0.0,0.0,64.0,30.0,,
251,251,Legambiente Onlus,"Spiaggia di Steccato di Cutro, Crotone (KR)",IT,Mediterranean Sea,100,,,20160514,Cleanup,,16.916530000097605,38.93237999971832,16.917530000180307,38.93237999971832,,5.0,,,,,3.0,,,,,2.0,,,,,,15.0,,,,,1.0,,,,2.0,,,9.0,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,3.0,,,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,2.0,,,,,,,2.0,,,,,,,,,,,,1.0,10.0,,,,,,,,,,,,53.0,2.0,0.0,0.0,0.0,21.0,10.0,,
252,252,Legambiente Onlus,"Spiaggia di Marzocca, Lungomare Italia, Senigallia (AN)",IT,Mediterranean Sea,100,,,20170424,Monitoring,,13.289659999858644,43.67726000027771,13.290659999941347,43.67726000027771,,7.0,,4.0,13.0,4.0,2.0,1.0,2.0,2.0,1.0,,,,,,,40.0,1.0,16.0,,,3.0,16.0,4.0,,,8.0,3.0,6.0,4.0,2.0,,,,,,,,56.0,,,1.0,4.0,,10.0,,3.0,,,,,,1.0,,,3.0,4.0,1.0,,4.0,1.0,,1.0,,,42.0,3.0,10.0,1.0,,,,1.0,,9.0,,,,,,,,,1.0,1.0,,,11.0,24.0,,,,,,3.0,,1.0,4.0,1.0,1.0,,,,,,,,,,,,6.0,1.0,1.0,,4.0,1.0,1.0,,1.0,1.0,,,,,,,,58.0,6.0,,2.0,8.0,,,,,,,,,,1.0,,,,,1.0,1.0,4.0,,,,7.0,,,,6.0,1.0,,2.0,307.0,32.0,2.0,13.0,3.0,77.0,18.0,,2.0
253,253,Mare Nostrum,Mamaia ,RO,Black Sea,107,Urban,Sandy,20170411,Cleanup,,28.622359999984173,44.28097999981382,28.62222000024209,44.28001999978308,,10.0,171.0,49.0,12.0,10.0,,2.0,,,1.0,,,,,,,104.0,14.0,10.0,8.0,5.0,9.0,82.0,3.0,1.0,55.0,17.0,15.0,19.0,3.0,48.0,5.0,,,,,,,,,,1.0,31.0,,1.0,,2.0,,,,,,,,1.0,3.0,18.0,,,,,,46.0,1.0,,66.0,1.0,109.0,1.0,,,,6.0,,2.0,,,,,7.0,,,1.0,2.0,1.0,,,18.0,15.0,,,,,,,,,3.0,2.0,,,,,3.0,,,21.0,,2.0,,,1.0,2.0,,,,10.0,,,42.0,1.0,,,,,,1.0,,1473.0,11.0,,1.0,17.0,,,,,,1.0,,,,,228.0,1.0,,,231.0,1.0,76.0,1.0,,,3.0,,,,,2.0,,,971.0,18.0,26.0,15.0,44.0,1964.0,82.0,,
254,254,Swiss Litter Report,Birsköpfli Rusco,DE,,50,,,20171203,Cleanup,,7.61729160506758,47.55774291380604,7.617696603326893,47.55737978485033,,0.0,0.0,,1.0,0.0,,0.0,,,1.0,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,1.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,4.0,1.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,30.0,0.0,0.0,0.0,5.0,0.0,,,0.0,,,,0.0,,,1.0,,0.0,0.0,4.0,0.0,0.0,,,0.0,7.0,,,,25.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,40.0,32.0,0.0,0.0
255,255,Plastic Change,Svanemøllen Strand,DK,North-east Atlantic Ocean,108,,,20190321,Cleanup,,12.583489682688,55.71973462446417,12.583354935395384,55.720702277097494,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2.0,1.0,1.0,3.0,2.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,4.0,0.0,0.0,0.0,64.0,4.0,28.0,15.0,0.0,0.0,5.0,0.0,0.0
256,256,Swiss Litter Report,Limmat_Unterengstringen_OggierBührer,CH,,28,Urban,Other (mixed),20170614,Cleanup,,8.446933418391268,47.409400318984325,8.447313213516981,47.40940958945342,,1.0,0.0,,1.0,1.0,,0.0,,,0.0,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,1.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,1.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,1.0,2.0,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,9.0,1.0,0.0,0.0,2.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,19.0,0.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0
257,257,Independent,Tallinn Bay (Tallinna Lahe osa),EE,Baltic Sea,802,Urban,Other (mixed),20170506,Cleanup,372,24.66896179124397,59.46300799950326,24.68302888128222,59.464163647279385,1.0,28.0,131.0,7.0,23.0,12.0,,45.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,106.0,1.0,18.0,8.0,1.0,12.0,437.0,1.0,1.0,67.0,1.0,1.0,1.0,26.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,6.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,8.0,83.0,1.0,86.0,9.0,28.0,,,,,,,,,,,2.0,17.0,,,1.0,3.0,,,,112.0,78.0,,1.0,,2.0,1.0,,,14.0,8.0,,10.0,,1.0,,,,,38.0,,,,1.0,12.0,4.0,1.0,,11.0,,,,,,,,,,,3.0,5.0,292.0,4.0,,,20.0,,,,,,2.0,,,,,6.0,,1.0,2.0,61.0,1.0,6.0,,,,,,,5.0,888.0,14.0,,1.0,1347.0,104.0,49.0,29.0,8.0,389.0,913.0,,1.0
258,258,Mare Nostrum,Mamaia ,RO,Black Sea,107,Urban,Sandy,20160412,Cleanup,,28.622359999984173,44.28097999981382,28.62222000024209,44.28001999978308,,,221.0,5.0,18.0,13.0,3.0,1.0,3.0,1.0,,4.0,,,,,,77.0,2.0,6.0,5.0,,1.0,36.0,4.0,,,,5.0,17.0,4.0,27.0,1.0,,1.0,1.0,,,,,,,,65.0,,1.0,,,,,,,,,,,6.0,,,,1.0,,,41.0,,,196.0,,9.0,,,,,,,1.0,,,,,18.0,,,1.0,1.0,1.0,,,55.0,21.0,,,,,,1.0,,,6.0,3.0,,,,1.0,7.0,,,34.0,,6.0,1.0,1.0,1.0,1.0,,,,16.0,5.0,,43.0,,,,,,,,,168.0,7.0,1.0,,12.0,,,,,,1.0,,,,,22.0,,,,13.0,,50.0,,1.0,1.0,14.0,,,,,,1.0,,852.0,28.0,45.0,26.0,48.0,224.0,66.0,1.0,
259,259,Independent,Warrenpoint Harbour,UK,North-east Atlantic Ocean,10,Urban,Other (mixed),20171011,Cleanup,,-6.255251980923332,54.10038846596872,-6.255111954231772,54.10042028066568,,1.0,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,
260,260,Independent,TTAKKAS BEACH,CY,Mediterranean Sea,104,Urban,Rocky,20180419,Cleanup,,32.35729407610306,35.048385603994554,32.35637680367149,35.04891496670293,3.0,7.0,17.0,59.0,40.0,21.0,,27.0,,1.0,2.0,,,,,,4.0,125.0,3.0,24.0,14.0,4.0,6.0,209.0,2.0,,13.0,3.0,,15.0,6.0,89.0,,,14.0,21.0,,,,,,,25.0,23.0,,,,2.0,,1.0,3.0,2.0,,,,1.0,33.0,,,,,,,,,,88.0,33.0,8.0,2.0,,,,,,3.0,,,1.0,,,,,,,,,,65.0,260.0,,,5.0,1.0,8.0,12.0,2.0,26.0,32.0,14.0,,,,,30.0,,1.0,16.0,7.0,13.0,2.0,8.0,11.0,7.0,12.0,,75.0,86.0,,,,,,,1.0,2.0,,8.0,5.0,516.0,37.0,2.0,29.0,52.0,,,,5.0,,,,,,2.0,12.0,,,2.0,30.0,1.0,232.0,,,2.0,3.0,,1.0,1.0,71.0,16.0,,,1019.0,346.0,61.0,221.0,16.0,688.0,326.0,,
261,261,Swiss Litter Report,vierwaldstättersee_weggis_schöberls_1,CH,,23,,,20170502,Cleanup,,8.418568937225396,47.04453212511511,8.418664933891588,47.04472764370512,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,3.0,0.0,2.0,0.0,,,,0.0,,0.0,0.0,0.0,,1.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,262,Swiss Litter Report,sihl_leimbach_kruegerm,CH,,99,Urban,Pebbels,20180326,Cleanup,,8.519119454661615,47.32543606664801,8.51948557922533,47.32629066766594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,9.0,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,1.0,,,,4.0,,,1.0,0.0,0.0,0.0,3.0,1.0,12.0,5.0,,1.0
263,263,Swiss Litter Report,Thur_Schoenenberg_SchaerA,CH,,96,Rural,Other (mixed),20171027,Cleanup,,9.198334670803852,47.524072606546824,9.19713286419258,47.524387676417554,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,6.0,,,,,,,,,,,,,18.0,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,0.0,10.0,0.0,24.0,0.0,,
264,264,Surfrider Foundation Europe,Cala Murgita,ES,North-east Atlantic Ocean,405,Urban,Rocky,20140916,Cleanup,,-1.9480348468599389,43.332155778758704,-1.9455432957575576,43.328993475481376,,22.0,,,15.0,,,20.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,0.0,0.0,0.0,0.0,12.0,0.0,,
265,265,Independent,Ladram Bay,UK,North-east Atlantic Ocean,160,,,20150328,Cleanup,,-3.2802120526953003,50.658101845246236,-3.278261290987241,50.658861332453,,2.0,0.0,,5.0,2.0,,0.0,,,,,,,,,,7.0,,,,,,0.0,,,6.0,,,,0.0,0.0,,,,,,,,0.0,,,,2.0,,21.0,1.0,37.0,,,,,,,,,,,,,,,,0.0,0.0,,,,12.0,,,,,,,,,,,,0.0,1.0,,,,,,,0.0,4.0,,,1.0,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,7.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,96.0,5.0,2.0,0.0,1.0,9.0,3.0,,
266,266,DeFishGear - Slovenia,Seca 2 - Lucija,SI,Mediterranean Sea,392,Urban,Other (mixed),20141201,Cleanup,,13.588263727410094,45.4999023947427,13.59000179860158,45.5032110766792,,75.0,,,2.0,30.0,,50.0,5.0,,,,,,,,,45.0,,,,30.0,1.0,250.0,,,,5.0,,,35.0,30.0,,,,,,,,,,,,10.0,,10.0,,,,,5.0,,,,,,,,,,,,,,,,250.0,,100.0,,,,,,,,,,,,1.0,,,,,,,,,15.0,,,,,,,3.0,1.0,,,,,,,1.0,,5.0,2.0,,,,,10.0,,,,50.0,,,,2.0,,,,10.0,,,,,366.0,30.0,,35.0,57.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,934.0,19.0,8.0,60.0,12.0,488.0,2.0,,
267,267,Swiss Litter Report,Sihl_Menzingen_Kucharska_Magdalena,CH,,50,Rural,Pebbels,20170508,Cleanup,,8.618421357870334,47.19150122858076,8.618737454357559,47.191102108589035,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,
268,268,Institute for Water of the Republic of Slovenia,Mesecev zaliv 2,SI,Mediterranean Sea,607810,Rural,Pebbels,20130823,Cleanup,,18.108375367468035,41.157065731812,13.609263080563275,45.53748768229642,,,,,1.0,1.0,,5.0,1.0,1.0,,,,,,,,6.0,,5.0,1.0,,1.0,127.0,,,3.0,,,,1.0,3.0,,,,,,1.0,,15.0,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,3.0,18.0,,,,,,,,,,,3.0,1.0,,,,4.0,,,,,,,,,6.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,,15.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,4.0,,,,205.0,8.0,1.0,5.0,0.0,20.0,5.0,,
269,269,Swiss Litter Report,aare_kehrsatz_stolten,CH,,46,,,20180228,Cleanup,,7.488301148879932,46.923571896775314,7.488904816750858,46.92352772293018,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,1.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,270,Independent,durankulak,BG,Black Sea,249,Rural,Sandy,20151203,Cleanup,,28.56580626842165,43.69637225441476,28.564244580537878,43.69444119737224,7.0,15.0,6.0,3.0,13.0,19.0,1.0,9.0,4.0,3.0,,1.0,,1.0,1.0,1.0,,22.0,,,8.0,2.0,,102.0,,,13.0,1.0,,175.0,,11.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,49.0,5.0,,,,,,,,,,3.0,,,,2.0,2.0,,,,,,,1.0,,18.0,,,,4.0,,,,,2.0,2.0,2.0,,,,1.0,,,4.0,,2.0,,,2.0,1.0,7.0,,3.0,,,,,,,,,,,,1.0,25.0,2.0,,,,,,,,,,,,,,,,4.0,,2.0,,7.0,,1.0,,,,,,,,,,487.0,24.0,9.0,15.0,1.0,33.0,8.0,,
271,271,Swiss Litter Report,urnaesch_urnaesch_meierr,CH,,35,Rural,Other (mixed),20180112,Cleanup,,9.29541884557851,47.32509859533172,9.295691382757614,47.32484208933555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,,,,,,7.0,,,,3.0,0.0,0.0,1.0,0.0,24.0,7.0,,
272,272,Perseus,Mangalia sulphorous gulf,RO,Black Sea,2097,Urban,Sandy,20141007,Cleanup,,28.59268442227125,43.82811717373657,28.589472485193077,43.809385127192975,,2.0,3.0,,0.0,0.0,,0.0,,,,,,,,,,10.0,,,,,,206.0,,,5.0,,,,7.0,6.0,,,,,,,,0.0,,,,4.0,,0.0,,,,,,,,,,,,,,,,,,0.0,12.0,,,,0.0,,,,,,,,,,,,3.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,0.0,,,,,,8.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,258.0,0.0,14.0,0.0,8.0,4.0,3.0,,
273,273,Swiss Litter Report,jona_tann_nusslin,CH,,12,,,20180322,Cleanup,,8.864125148869475,47.268427179788226,8.864092427735232,47.26831724891154,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,,,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0
274,274,Swiss Litter Report,Birs_Reinach_DiNucciN,CH,,36,Rural,Rocky,20180329,Cleanup,,7.607008496585474,47.503681695528975,7.607005387516285,47.50400169347114,,,2.0,,1.0,,,,,,,,,,,,,1.0,,,,,,9.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,6.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,0.0,2.0,2.0,0.0,8.0,0.0,,
275,275,Legambiente Onlus,Lido Mappatella Lungomare Caracciolo Napoli (NA),IT,Unknown,100,,,20180423,Monitoring,,0.00012784463798781848,0.0003668009951243109,0.00012785362112539974,0.0003668009951243109,,5.0,6.0,,8.0,,,,,,,,,,,,,43.0,,17.0,55.0,,,166.0,,,,5.0,,12.0,,36.0,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,195.0,3.0,,,6.0,,,,6.0,15.0,,,,,,,,5.0,,4.0,,,,,,,,,,2.0,,,,,,,20.0,,2.0,,,,,,36.0,,,31.0,,54.0,18.0,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,139.0,,8.0,,589.0,20.0,4.0,22.0,69.0,72.0,155.0,8.0,
276,276,Plastic Change,Lejre Vig II,DK,North-east Atlantic Ocean,100,Rural,Rocky,20180622,Cleanup,,11.991250000226009,55.68303499994531,11.99203000020068,55.682250999909506,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,1.0,0.0,3.0,0.0,0.0,,
277,277,Legambiente Onlus,San Cataldo  Est della Foce del torrente Pinto Trappeto (PA),IT,Unknown,100,,,20180424,Monitoring,,0.00011743136720075844,0.0003421206809986035,0.00011744035033833965,0.0003421206809986035,1.0,5.0,2.0,,3.0,53.0,37.0,8.0,5.0,7.0,2.0,5.0,,,2.0,7.0,1.0,25.0,7.0,8.0,15.0,,2.0,5.0,3.0,2.0,7.0,2.0,7.0,2.0,3.0,4.0,1.0,1.0,,,,,,1.0,,,5.0,,,2.0,1.0,1.0,,,2.0,1.0,,,,5.0,1.0,,,,,3.0,,8.0,,,25.0,8.0,12.0,2.0,,,,,,,1.0,,3.0,,7.0,3.0,,,,2.0,,1.0,27.0,21.0,,,3.0,1.0,,,,,3.0,,3.0,,,2.0,,,,3.0,1.0,,4.0,2.0,,1.0,,,3.0,,,,,,,,2.0,,,15.0,4.0,118.0,13.0,2.0,,4.0,,1.0,,,,,,,,,2.0,1.0,4.0,,3.0,8.0,5.0,,,,6.0,,,,5.0,2.0,,,353.0,28.0,8.0,11.0,21.0,156.0,18.0,,
